title,rating,image,price,In The Box,Model Name,Color,SIM Type,Touchscreen,Quick Charging,Display Size,Resolution,GPU,Operating System,Processor Brand,Processor Type,Processor Core,Primary Clock Speed,Internal Storage,RAM,Expandable Storage,Primary Camera,Secondary Camera,HD Recording,Video Recording Resolution,Network Type,Battery Capacity,Battery Type,Warranty Summary,JAVA Support
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)  (6 GB RAM)",4.4,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/2/p/8/-original-imagg2a4rmk94gay.jpeg?q=70&crop=false,"₹19,999","Phone,SIM Tray Ejector, Adapter, Phone Case, USB Cable",Nord CE 2 Lite 5G,Black Dusk,Dual Sim,Yes,,16.74 cm (6.59 inch),2412 x 1080 Pixels,,Android 13,,,Octa Core,2.2 GHz,128 GB,6 GB,,64MP Rear Camera,16MP Front Camera,,,5G,5000 mAh,,12 months,
"realme NARZO 70 5G (ICE BLUE, 128 GB)  (8 GB RAM)",4.4,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/r/r/5/narzo-70-5g-rmx3869-realme-original-imahyfdaxghkx2kv.jpeg?q=70&crop=false,"₹20,999","Phone, Data cable, SIM ejector tool, Protective case, Quick Guide",NARZO 70 5G,ICE BLUE,Dual Sim,Yes,,16.94 cm (6.67 inch),2400x 1080$$ pixel,,Android Android 14,Mediatek,,Octa Core,2.6 GHz,128 GB,8 GB,,50MP Rear Camera,16MP Front Camera,,,5G,5000 mAh,5000mAh Massive Battery (NON REMOVABLE),1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,
SAMSUNG Metro 313  (White),3.5,https://rukminim2.flixcart.com/image/416/416/mobile/e/h/s/samsung-metro-313-original-imae8jyaeed8dgcg.jpeg?q=70&crop=false,"₹2,499",Mobile,Metro 313,White,Dual Sim,No,,5.16 cm (2.03 inch),128 x 160 Pixels,,Series 30 Feature phone,,,Single Core,208 MHz,2.3 MB,4 MB,16 GB,0.3MP Rear Camera,,,176 x 144,2G,1000 mAh,Li-ion,1 Year Manufacturer Warranty,
Kechaoda A26  (Pink),4.0,https://rukminim2.flixcart.com/image/416/416/jyxaw7k0/mobile/x/s/b/kechaoda-a26-a26-original-imafhyqgng8pduzm.jpeg?q=70&crop=false,"₹1,399","Handset, Battery, User Manual",A26,Pink,Dual Sim,No,No,1.68 cm (0.66 inch),128x160,,,,,,,32 MB,32 MB,16 GB,0MP,0MP Front Camera,No,0,2G,800 mAh,Li-Ion,NO WARRANTY,Yes
"SAMSUNG Galaxy Z Flip3 5G (Cream, 128 GB)  (8 GB RAM)",4.3,https://rukminim2.flixcart.com/image/416/416/ksnjp8w0/mobile/w/u/8/galaxy-z-flip3-5g-sm-f711bzeeinu-samsung-original-imag662adrayy6cg.jpeg?q=70&crop=false,"₹95,999","Handset, Non-removable Battery Included, Data Cable (C-to-C), Ejection Pin, Quick Start Guide, Protective Vinyl, Protective Films (Main Display)",Galaxy Z Flip3 5G,Cream,Dual Sim,Yes,,17.02 cm (6.7 inch),2640 x 1080 Pixels,,Android 11,Snapdragon,Qualcomm Snapdragon 888 Octa-Core,Octa Core,2.84 GHz,128 GB,8 GB,,12MP + 12MP,10MP Front Camera,Yes,,"5G, 4G, 3G, 2G",3300 mAh,,1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-Box Accessories,
"POCO X6 5G (Mirror Black, 512 GB)  (12 GB RAM)",4.3,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/w/b/6/-original-imagwzrgzcm2cnz6.jpeg?q=70&crop=false,"₹27,999","Handset, 67W Charger, USB Type-C Cable, Sim Eject Tool, Protective Case, Quick Start Guide, Warranty Card",X6 5G,Mirror Black,Dual Sim,Yes,Yes,16.94 cm (6.67 inch),2712 x 1220 Pixels,Adreno GPU A710,Android 13,Snapdragon,7s Gen 2 Mobile Platform 5G,Octa Core,2.4 GHz,512 GB,12 GB,,64MP + 8MP + 2MP,16MP Front Camera,Yes,"Rear Camera: 4K (at 30 fps), 1080p (at 60 fps/at 30 fps), 720p (at 30 fps) | Front Camera: 1080p (at 60 fps), 720p (at 30 fps)","2G, 3G, 4G, 4G VOLTE, 5G",5100 mAh,Lithium-ion Polymer,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,
GFive Z9  (White & Red),3.4,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/z/j/o/z9-z9-gfive-original-imagxhmdaev78dgu.jpeg?q=70&crop=false,"₹1,099","1 Handset, 1 Battery, 1 Charger",Z9,White & Red,Dual Sim,No,No,4.57 cm (1.8 inch),320 x 480$$pixel,,,,,,1.2 MHz,32 MB,32 MB,16 GB,0.3MP Rear Camera,,,,2G,1000 mAh,Li-Ion,1 Year Manufacturer warranty.,
"Motorola Edge 50 Fusion (Hot Pink, 128 GB)  (8 GB RAM)",4.5,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/i/k/l/edge-50-fusion-pb300001in-motorola-original-imahywzpfd2jh9ep.jpeg?q=70&crop=false,"₹25,999","Handset, 68W Charger, USB Cable, Sim Tool, Protective Cover, Guides",Edge 50 Fusion,Hot Pink,Dual Sim,Yes,Yes,17.02 cm (6.7 inch),2400 x 1080 Pixels,Adreno 710,Android 14,Snapdragon,7s Gen 2,Octa Core,2.4 GHz,128 GB,8 GB,,50MP + 13MP,32MP Front Camera,Yes,"Rear Camera: Main Camera [UHD (at 30 fps), UHD 20:9 (at 30 fps), FHD (at 30 fps), FHD 20:9 (at 30 fps), FHD (at 60 fps), FHD 20:9 (at 60 fps)], Macro Camera [UHD (at 30 fps), UHD 20:9 (at 30 fps), FHD (at 30 fps), FHD 20:9 (at 30 fps)] | Front Camera: UHD (at 30 fps), UHD 20:9 (at 30 fps), FHD (at 30 fps), FHD 20:9 (at 30 fps)","2G, 3G, 4G, 5G",5000 mAh,,1 Year on Handset and 6 Months on Accessories,
"realme NARZO 70X 5G (FOREST GREEN, 128 GB)  (4 GB RAM)",3.8,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/0/w/u/narzo-70x-5g-rmx3998-realme-original-imahyfd8gaajwugd.jpeg?q=70&crop=false,"₹16,999","Phone, Data cable, SIM ejector tool, Protective case, Quick Guide",NARZO 70X 5G,FOREST GREEN,Dual Sim,Yes,,17.07 cm (6.72 inch),2400x 1080$$ pixel,,Android ANDROID 14,Mediatek,Dimensity 6100+ 5G Chipset,Octa Core,2.2 GHz,128 GB,4 GB,,50MP Rear Camera,8MP Front Camera,,,5G,5000 mAh,,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,
"SAMSUNG Galaxy M14 4G (Sapphire Blue, 64 GB)  (4 GB RAM)",3.8,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/y/f/z/galaxy-m14-4g-sm-m145f-ds-samsung-original-imahyxwvbcf9fk9u.jpeg?q=70&crop=false,"₹13,999","Phone, Data cable, SIM ejector tool, Protective case, Quick Guide",Galaxy M14 4G,Sapphire Blue,Dual Sim,Yes,,16.76 cm (6.6 inch),1080x2408$$ Pixels,,Android Android 13.0,Exynos,,Octa Core,2.4 GHz,64 GB,4 GB,,50MP Rear Camera,,,,4G,6000 mAh,,1 year for handset and 6 month for accessories,
